819	1399	1076	323
820	1348	1030	318
821	1353	1041	312
822	1299	985	314
823	1321	1028	293
824	1290	971	319
825	1307	985	322
826	1322	1005	317
827	1335	1025	310
828	1257	954	303
829	1322	1018	304
830	1276	972	304
831	1362	1020	342
832	15451	8204	7247
833	1373	1099	274
834	1443	1163	280
835	1405	1140	265
836	1462	1184	278
837	1408	1142	266
838	1427	1149	278
839	1487	1208	279
840	1298	1024	274
841	1331	1058	273
842	1424	1148	276
843	1369	1102	267
844	1473	1206	267
845	1556	1278	278
846	1512	1242	270
847	1537	1262	275
848	15393	8151	7242
849	1451	1177	274
850	1522	1240	282
851	1554	1284	270
852	1539	1263	276
853	1386	1113	273
854	1450	1172	278
855	1393	1114	279
856	1361	1088	273
857	1445	1169	276
858	1502	1226	276
859	1465	1194	271
860	1479	1208	271
861	1485	1207	278
862	1497	1227	270
863	1504	1228	276
864	15475	8234	7241
865	1383	1108	275
866	1447	1162	285
867	1534	1265	269
868	1549	1275	274
869	1458	1190	268
870	1563	1281	282
871	1534	1253	281
872	1496	1223	273
873	1529	1257	272
874	1531	1257	274
875	1565	1294	271
876	1529	1261	268
877	1544	1266	278
878	1553	1284	269
879	1423	1149	274
880	15371	8135	7236
881	1356	1079	277
882	1462	1181	281
883	1514	1244	270
884	1517	1248	269
885	1511	1241	270
886	1380	1101	279
887	1486	1206	280
888	1440	1167	273
889	1537	1264	273
890	1494	1222	272
891	1549	1279	270
892	1449	1181	268
893	1492	1216	276
894	1363	1095	268
895	1446	1173	273
896	15467	8058	7409
897	1389	996	393
898	1351	984	367
899	1302	946	356
900	1326	976	350
901	1322	965	357
902	1363	996	367
903	1345	978	367
904	1349	983	366
905	1376	997	379
906	1376	1002	374
907	1332	968	364
908	1325	977	348
909	1298	963	335
910	1315	950	365
911	1373	1002	371
912	15453	8036	7417
913	1344	949	395
914	1301	950	351
915	1314	960	354
916	1392	1043	349
917	1315	954	361
918	1286	924	362
919	1306	952	354
920	1342	962	380
921	1358	981	377
922	1341	976	365
923	1340	954	386
924	1384	1020	364
925	1369	1015	354
926	1310	937	373
927	1340	985	355
928	15398	8014	7384
929	1315	945	370
930	1276	942	334
931	1323	973	350
932	1297	957	340
933	1245	921	324
934	1288	955	333
935	1265	946	319
936	1321	964	357
937	1307	971	336
938	1303	950	353
939	1284	935	349
940	1298	952	346
941	1303	954	349
942	1419	1033	386
943	1365	978	387
944	15409	8018	7391
945	1351	974	377
946	1344	982	362
947	1306	965	341
948	1284	947	337
949	1351	992	359
950	1349	978	371
951	1287	948	339
952	1259	938	321
953	1287	939	348
954	1323	964	359
955	1342	989	353
956	1365	1012	353
957	1363	1011	352
958	1329	974	355
959	1332	970	362
960	14977	7783	7194
961	1124	839	285
962	1110	824	286
963	1117	830	287
964	1093	798	295
965	1116	822	294
966	1188	903	285
967	1197	906	291
968	1176	889	287
969	1118	827	291
970	1102	812	290
971	1185	896	289
972	1129	839	290
973	1144	859	285
974	1197	909	288
975	1183	907	276
976	14949	7758	7191
977	1051	767	284
978	1169	884	285
979	1118	831	287
980	1104	806	298
981	1081	786	295
982	1091	806	285
983	1110	820	290
984	1037	745	292
985	1096	807	289
986	1101	809	292
987	1128	840	288
988	1154	867	287
989	1114	830	284
990	1153	864	289
991	1068	793	275
992	14880	7688	7192
993	1072	789	283
994	1145	858	287
995	1143	860	283
996	1137	836	301
997	1098	803	295
998	1133	850	283
999	1107	818	289
1000	1091	800	291
1001	1168	880	288
1002	1097	809	288
1003	1136	845	291
1004	1084	800	284
1005	1142	855	287
1006	1121	832	289
1007	1072	794	278
1008	14901	7709	7192
1009	1094	813	281
1010	1117	830	287
1011	1133	850	283
1012	1088	786	302
1013	1116	823	293
1014	1112	828	284
1015	1129	838	291
1016	1109	817	292
1017	1136	844	292
1018	1126	837	289
1019	1130	837	293
1020	1045	762	283
1021	1044	754	290
1022	1110	820	290
1023	1078	802	276
1024	15008	7808	7200
1025	1133	836	297
1026	1106	816	290
1027	1109	805	304
1028	1119	835	284
1029	1140	850	290
1030	1162	875	287
1031	1138	849	289
1032	1153	847	306
1033	1184	888	296
1034	1123	833	290
1035	1198	903	295
1036	1131	830	301
1037	1162	870	292
1038	1081	794	287
1039	1138	850	288
1040	14937	7738	7199
1041	1113	815	298
1042	1155	860	295
1043	1112	811	301
1044	1125	838	287
1045	1162	870	292
1046	1198	913	285
1047	1217	929	288
1048	1130	825	305
1049	1135	837	298
1050	1115	829	286
1051	1233	940	293
1052	1157	857	300
1053	1173	877	296
1054	1174	888	286
1055	1133	844	289
1056	14986	7789	7197
1057	1193	897	296
1058	1156	864	292
1059	1213	911	302
1060	1186	899	287
1061	1221	929	292
1062	1111	825	286
1063	1200	916	284
1064	1134	827	307
1065	1193	894	299
1066	1181	894	287
1067	1217	922	295
1068	1185	888	297
1069	1239	944	295
1070	1208	925	283
1071	1202	911	291
1072	14963	7764	7199
1073	1203	905	298
1074	1224	934	290
1075	1232	929	303
1076	1192	905	287
1077	1193	902	291
1078	1218	931	287
1079	1177	891	286
